method,path,file,line,guard,shadowed_by,verdict
ALL,/tasks,apps/api/src/index.ts,161,bearer-only,,REVIEW (unscoped)
ALL,/tasks/*,apps/api/src/index.ts,161,bearer-only,,REVIEW (unscoped)
GET,/projects,apps/api/src/index.ts,173,bearer-only,,REVIEW (unscoped)
GET,/projects/:projectId/tasks,apps/api/src/index.ts,198,bearer-only,,CHANGE (move to /api/v1)
PATCH,/projects/:projectId/tasks/:taskId,apps/api/src/index.ts,216,bearer-only,,CHANGE (move to /api/v1)
POST,/projects/:projectId/tasks/:taskId/runs,apps/api/src/index.ts,291,bearer-only,,CHANGE (move to /api/v1)
GET,/projects/:projectId/tasks/:taskId/runs/:runId/events,apps/api/src/index.ts,374,bearer-only,,CHANGE (move to /api/v1)
POST,/projects/:projectId/tasks/:taskId/runs/:runId/cancel,apps/api/src/index.ts,392,bearer-only,,CHANGE (move to /api/v1)
GET,/health,apps/api/src/index.ts,908,bearer-only,,KEEP
GET,/healthz,apps/api/src/index.ts,929,bearer-only,,KEEP
GET,/readyz,apps/api/src/index.ts,941,bearer-only,,KEEP
GET,/db/status,apps/api/src/index.ts,970,bearer-only,,REVIEW (unscoped)
POST,/db/migrate,apps/api/src/index.ts,991,bearer-only,,REVIEW (unscoped)
GET,/audit-logs,apps/api/src/index.ts,1041,bearer-only,,REVIEW (unscoped)
GET,/projects,apps/api/src/index.ts,1065,bearer-only,,REVIEW (unscoped)
POST,/projects,apps/api/src/index.ts,1079,bearer-only,,REVIEW (unscoped)
GET,/projects/:id,apps/api/src/index.ts,1124,requireProjectScope,,CHANGE (move to /api/v1)
PATCH,/projects/:id,apps/api/src/index.ts,1142,requireProjectScope,,CHANGE (move to /api/v1)
DELETE,/projects/:id,apps/api/src/index.ts,1186,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/task-metrics,apps/api/src/index.ts,1267,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/tasks/search,apps/api/src/index.ts,1328,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/tasks,apps/api/src/index.ts,1385,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks,apps/api/src/index.ts,1401,requireProjectScope,,CHANGE (move to /api/v1)
PATCH,/tasks/:id,apps/api/src/index.ts,1470,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
GET,/projects/:id/tasks/:taskId/lifecycle,apps/api/src/index.ts,1576,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/transition,apps/api/src/index.ts,1593,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/tasks/:taskId/status-history,apps/api/src/index.ts,1625,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/quality-gates/runs,apps/api/src/index.ts,1645,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/tasks/:taskId/quality-gates/runs,apps/api/src/index.ts,1678,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/quality-gates/runs,apps/api/src/index.ts,1703,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/tasks/:taskId/quality-gates/runs/:runId,apps/api/src/index.ts,1714,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/quality-gates/runs/:runId/start,apps/api/src/index.ts,1741,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/quality-gates/runs/:runId/commands,apps/api/src/index.ts,1767,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/quality-gates/runs/:runId/complete,apps/api/src/index.ts,1804,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/quality-gates/runs/:runId/cancel,apps/api/src/index.ts,1830,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/evidence,apps/api/src/index.ts,1859,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/evidence,apps/api/src/index.ts,1918,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/evidence/:evidenceId,apps/api/src/index.ts,1937,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/evidence/:evidenceId/verify,apps/api/src/index.ts,1962,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/evidence/verify,apps/api/src/index.ts,1987,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/tasks/:taskId/evidence,apps/api/src/index.ts,2006,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/evidence,apps/api/src/index.ts,2025,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/events,apps/api/src/index.ts,2087,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/events,apps/api/src/index.ts,2144,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/events/:eventId,apps/api/src/index.ts,2171,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/tasks/:taskId/events,apps/api/src/index.ts,2196,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/events,apps/api/src/index.ts,2223,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/context-objects,apps/api/src/index.ts,2283,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/context-objects,apps/api/src/index.ts,2322,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/context-objects/:objectId,apps/api/src/index.ts,2352,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/context-objects/:objectId/stale,apps/api/src/index.ts,2367,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/context-objects/:objectId/quarantine,apps/api/src/index.ts,2382,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/context-objects/:objectId/refs,apps/api/src/index.ts,2397,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/context-objects/:objectId/refs,apps/api/src/index.ts,2412,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/tasks/:taskId/context-objects,apps/api/src/index.ts,2447,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/context-objects,apps/api/src/index.ts,2477,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/workers/register,apps/api/src/index.ts,2519,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/workers/heartbeat,apps/api/src/index.ts,2532,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/workers/pause,apps/api/src/index.ts,2549,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/workers/stop,apps/api/src/index.ts,2566,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/workers/claim,apps/api/src/index.ts,2583,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/workers/complete,apps/api/src/index.ts,2600,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/workers/fail,apps/api/src/index.ts,2617,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/workers/lease-release/workers,apps/api/src/index.ts,2634,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/workers/lease-release/jobs,apps/api/src/index.ts,2647,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/workers/telemetry,apps/api/src/index.ts,2660,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/workers/:worker_id/logs,apps/api/src/index.ts,2673,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/file-locks/acquire,apps/api/src/index.ts,2690,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/file-locks/:lockId/refresh,apps/api/src/index.ts,2704,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/file-locks/:lockId/release,apps/api/src/index.ts,2719,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/file-locks/release-stale,apps/api/src/index.ts,2734,requireProjectScope,,CHANGE (move to /api/v1)
