category,id,label,route,declared_status,component,data_source,verdict
mission-control,chat-cockpit,Sohbet Kokpiti,/chat,SIMULATED,Badge,ağ çağrısı tespit edilmedi,FAKE
mission-control,project-dashboard,AI Görev Kontrolü,/dashboard,SIMULATED,AIMissionControlPanel,setTimeout / local simulation,FAKE
mission-control,active-project,Aktif Proje,/active-project,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
mission-control,system-health,Sistem Sağlığı,/system-health,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
mission-control,token-budget-status,Token Bütçe Durumu,/budget,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
mission-control,cost-compression-chart,Maliyet ve Sıkıştırma,/cost-chart,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
projects-workspace,projects,Projeler Kaydı,/projects,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
projects-workspace,memberships,Üyelik Yetkilendirmeleri,/memberships,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
projects-workspace,scoped-paths,Kapsam Belirlenmiş Yollar,/scoped-paths,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
projects-workspace,repo-adapter,Repo Adaptör Motoru,/repo-adapter,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
projects-workspace,file-explorer,Dosya Gezgini,/explorer,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
projects-workspace,allowed-paths,İzin Verilen Yollar,/allowed-paths,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
projects-workspace,workspace-boundaries,Çalışma Alanı Sınırları,/boundaries,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
context-os,index-job-orchestrator,Dizin İşi Orkestratörü,/index-jobs,PARTIAL,IndexJobOrchestratorPanel,backend API,REAL
context-os,context-objects,Bağlam Nesneleri,/ctx-objects,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
context-os,context-items,Bağlam Öğeleri,/ctx-items,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
context-os,context-chunks,Bağlam Parçaları (Chunks),/ctx-chunks,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
context-os,context-pack-builder,50K Bağlam Paketi Oluşturucu,/pack-builder,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
context-os,compression-ratios,Sıkıştırma Oranları,/ratios,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
context-os,segment-ranking,Segment Sıralaması,/ranking,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
context-os,context-registry,Bağlam Sicili,/registry,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
context-os,context-export,Bağlam Dışa Aktarma,/export,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
graph-intelligence,impact-analysis,Etki Analizi Paneli,/impact-analysis,PARTIAL,ImpactAnalysisPanel,backend API,REAL
graph-intelligence,ast-map,AST Haritası,/ast-map,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
graph-intelligence,dependency-graph,Bağımlılık Grafiği,/dependency-graph,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
graph-intelligence,symbol-index,Sembol Dizini,/symbols,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
graph-intelligence,import-export-resolver,İthalat/İhracat Çözücü,/resolver,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
graph-intelligence,impact-radius,Etki Yarıçapı,/radius,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
graph-intelligence,incremental-index,Artımlı Dizinleme,/incremental-idx,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
graph-intelligence,syntax-recovery,Sözdizimi Kurtarma,/recovery,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
artifact-cas,artifact-center,Artefakt Merkezi CAS,/artifacts,PARTIAL,ArtifactCenterPanel,backend API,REAL
artifact-cas,workspace-files,Çalışma Alanı Dosyaları,/ws-files,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
artifact-cas,cas-blobs,CAS İkili Verileri (Blobs),/blobs,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
artifact-cas,dedup-chunks,Tekilleştirilmiş Parçalar,/dedup,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
artifact-cas,hash-verification,Hash Doğrulama,/hash-verify,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
artifact-cas,integrity-audit,Bütünlük Denetimi,/integrity-audit,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
artifact-cas,quarantine,Karantina Kayıtları,/quarantine,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
task-lifecycle,file-locks,Dosya Kilitleri ve Kiraları,/file-locks,PARTIAL,FileLockingPanel,backend API,REAL
task-lifecycle,task-board,Görev Panosu (Task Board),/tasks,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
task-lifecycle,backlog,Yapılacaklar Kuyruğu,/backlog,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
task-lifecycle,active-tasks,Aktif Görevler,/active-tasks,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
task-lifecycle,verified-tasks,Doğrulanmış Görevler,/verified,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
task-lifecycle,closed-tasks,Kapatılmış Görevler,/closed,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
task-lifecycle,fsm-transitions,FSM Durum Geçişleri,/fsm,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
agent-network,dispatcher-agent,Yönlendirici Ajan (Dispatcher),/dispatcher,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
agent-network,context-builder-agent,Bağlam Yapılandırıcı Ajan,/ctx-builder,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
agent-network,developer-agent,Geliştirici Ajan (Developer),/developer,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
agent-network,qa-agent,QA Test Ajanı,/qa-agent,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
agent-network,director-agent,Yönetici Ajan (Director),/director,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
agent-network,session-checkpoints,Oturum Denetim Noktaları,/checkpoints,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
agent-network,continuation-handoff,Devamlılık Handoff Dosyası,/handoff,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
agent-network,chronological-autochecks,Otomatik Zamanlanmış Kontroller,/autochecks,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
security-kernel,permission-kernel,Erişim Yetki Çekirdeği,/security,PARTIAL,PermissionKernelPanel,backend API,REAL
security-kernel,abac-matrix,ABAC Matrisi,/abac-matrix,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
security-kernel,role-policies,Rol Politikaları,/policies,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
security-kernel,human-approval-gate,İnsan Onay Geçidi,/human-approval,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
