table,migration_version,defined_at_line,column_count,has_project_id,has_org_id,reads,writes,verdict
projects,1.0.0-projects-foundation,10,7,false,true,88,50,KEEP
memberships,1.0.1-memberships-foundation,10,6,true,false,0,0,"DEAD (0 read, 0 write) -> DROP"
tasks,1.0.2-tasks-foundation,10,13,true,true,99,78,KEEP
context_items,1.0.3-context-vault-foundation,10,13,true,false,37,28,KEEP + ALTER (needs organization_id)
context_chunks,1.0.3-context-vault-foundation,27,6,false,false,12,10,KEEP + ALTER (needs organization_id)
graph_nodes,1.0.4-knowledge-graph-foundation,10,7,true,true,21,14,KEEP
graph_edges,1.0.4-knowledge-graph-foundation,21,7,true,true,19,19,KEEP
audit_logs,1.0.5-audit-and-telemetry-foundation,10,11,true,true,66,33,KEEP
artifacts,1.0.6-artifacts-debug-connections,10,8,true,false,0,0,"DEAD (0 read, 0 write) -> DROP"
debug_logs,1.0.6-artifacts-debug-connections,22,9,false,false,1,0,READ-ONLY (never written) -> investigate
connections,1.0.6-artifacts-debug-connections,35,9,true,false,0,0,"DEAD (0 read, 0 write) -> DROP"
context_packs,1.0.7-context-packs-foundation,10,22,true,false,8,8,KEEP + ALTER (needs organization_id)
context_summaries,1.0.8-context-summaries-foundation,10,15,true,false,0,0,"DEAD (0 read, 0 write) -> DROP"
durable_memories,1.0.8-context-summaries-foundation,30,11,true,false,0,1,WRITE-ONLY (never read) -> DROP
task_boundaries,1.0.9-context-boundaries,10,16,true,false,21,22,KEEP + ALTER (needs organization_id)
boundary_checks,1.0.9-context-boundaries,31,11,true,false,0,1,WRITE-ONLY (never read) -> DROP
impact_reports,1.1.1-impact-analysis-foundation,10,19,true,true,6,5,KEEP
change_simulations,1.1.2-change-simulation-foundation,10,16,true,true,4,3,KEEP
agent_memories,1.1.3-agent-memory-foundation,10,16,true,false,15,8,KEEP + ALTER (needs organization_id)
resume_states,1.1.4-resume-engine-foundation,10,20,true,false,16,9,KEEP + ALTER (needs organization_id)
resume_schedules,1.1.5-resume-schedules-foundation,10,15,true,false,17,10,KEEP + ALTER (needs organization_id)
agent_sessions,1.1.7-agent-sessions-foundation,10,15,true,false,22,6,KEEP + ALTER (needs organization_id)
agent_handoffs,1.1.8-agent-handoffs-foundation,10,18,true,false,10,5,KEEP + ALTER (needs organization_id)
repo_sources,1.1.9-repo-adapter-foundation,10,8,true,false,6,2,KEEP + ALTER (needs organization_id)
repo_access_logs,1.1.9-repo-adapter-foundation,22,9,true,false,0,3,WRITE-ONLY (never read) -> DROP
index_jobs,1.2.0-index-jobs-foundation,10,14,true,false,35,45,KEEP + ALTER (needs organization_id)
incremental_index_events,1.2.3-incremental-index-pipeline,10,14,true,false,7,3,KEEP + ALTER (needs organization_id)
task_status_history,1.2.4-task-lifecycle-history,10,12,true,false,24,17,KEEP + ALTER (needs organization_id)
quality_gate_runs,1.2.7-quality-gate-orchestrator,10,12,true,false,5,8,KEEP + ALTER (needs organization_id)
quality_gate_command_results,1.2.7-quality-gate-orchestrator,25,13,true,false,4,2,KEEP + ALTER (needs organization_id)
evidence_records,1.2.8-evidence-store-mvp,10,21,true,false,6,5,KEEP + ALTER (needs organization_id)
event_records,1.2.9-event-store-mvp,10,19,true,false,13,8,KEEP + ALTER (needs organization_id)
context_objects,1.3.0-context-object-store-mvp,10,18,true,false,11,6,KEEP + ALTER (needs organization_id)
context_object_refs,1.3.0-context-object-store-mvp,31,9,true,false,3,3,KEEP + ALTER (needs organization_id)
worker_registry,1.3.1-production-queue-worker-runtime,10,13,true,false,13,16,KEEP + ALTER (needs organization_id)
worker_runtime_logs,1.3.1-production-queue-worker-runtime,27,10,true,false,2,2,KEEP + ALTER (needs organization_id)
file_locks,1.3.2-file-locking-mvp,10,19,true,false,12,10,KEEP + ALTER (needs organization_id)
permission_policies,1.3.3-permission-kernel-mvp,10,10,true,true,3,0,READ-ONLY (never written) -> investigate
permission_evaluations,1.3.3-permission-kernel-mvp,23,12,true,false,1,2,KEEP + ALTER (needs organization_id)
permission_overrides,1.3.3-permission-kernel-mvp,38,11,true,false,0,2,WRITE-ONLY (never read) -> DROP
cas_blobs,1.3.4-artifact-cas-mvp,10,12,true,false,5,2,KEEP + ALTER (needs organization_id)
artifact_versions,1.3.4-artifact-cas-mvp,26,21,true,false,14,7,KEEP + ALTER (needs organization_id)
organizations,2.0.0-organizations,12,7,false,false,2,0,READ-ONLY (never written) -> investigate
users,2.0.1-users,11,8,false,false,5,3,KEEP + ALTER (needs organization_id)
org_memberships,2.0.2-org-memberships,8,6,false,true,5,0,READ-ONLY (never written) -> investigate
project_memberships,2.0.3-project-memberships,12,6,true,false,10,2,KEEP + ALTER (needs organization_id)
service_identities,2.0.4-service-identities,11,8,false,true,0,0,"DEAD (0 read, 0 write) -> DROP"
orphaned_memberships,2.0.9-migrate-legacy-memberships,18,7,true,false,0,0,"DEAD (0 read, 0 write) -> DROP"
repositories,2.1.0-repositories,12,11,true,true,4,0,READ-ONLY (never written) -> investigate
repository_connections,2.1.1-repository-connections,11,7,false,false,0,0,"DEAD (0 read, 0 write) -> DROP"
repository_snapshots,2.1.2-repository-snapshots,11,10,false,true,16,5,KEEP
files,2.1.3-files,11,15,false,true,22,6,KEEP
orphaned_repo_sources,2.1.6-migrate-repo-sources,16,5,true,false,0,0,"DEAD (0 read, 0 write) -> DROP"
symbols,2.2.0-symbols,15,20,false,true,25,8,KEEP
chunks,2.2.1-chunks,16,21,false,true,12,8,KEEP
parser_versions,2.2.2-parser-versions,13,5,false,false,5,2,KEEP + ALTER (needs organization_id)
symbol_invalidations,2.2.3-symbol-invalidations,20,11,false,true,5,2,KEEP
legacy_chunk_migration_audit,2.2.4-legacy-chunk-audit,45,7,false,false,0,0,"DEAD (0 read, 0 write) -> DROP"
graph_build_runs,2.3.2-graph-build-runs,19,16,true,true,5,7,KEEP
graph_tombstones,2.3.3-graph-tombstones,21,11,false,true,0,2,WRITE-ONLY (never read) -> DROP
retrieval_runs,2.4.3-retrieval-runs,31,16,true,true,0,0,"DEAD (0 read, 0 write) -> DROP"
retrieval_candidates,2.4.4-retrieval-candidates,31,26,false,true,0,0,"DEAD (0 read, 0 write) -> DROP"
policy_rules,2.5.0-policy-rules,25,11,true,true,0,0,"DEAD (0 read, 0 write) -> DROP"
file_classifications,2.5.1-file-classifications,17,11,false,true,0,0,"DEAD (0 read, 0 write) -> DROP"
context_universes,2.5.2-context-universes,23,13,true,true,0,0,"DEAD (0 read, 0 write) -> DROP"
context_manifests,2.6.0-context-manifests,23,21,true,true,0,0,"DEAD (0 read, 0 write) -> DROP"
context_manifest_items,2.6.1-context-manifest-items,24,19,false,true,0,0,"DEAD (0 read, 0 write) -> DROP"
context_manifest_exclusions,2.6.2-context-manifest-exclusions,21,10,false,true,0,0,"DEAD (0 read, 0 write) -> DROP"
