rule,severity,file,line,text
permissive-fallback,P0,apps/api/src/db.ts,590,"if (process.env.ENABLE_MOCK_DB !== ""true"") {"
permissive-fallback,P0,apps/api/src/db.ts,591,"throw new Error(""Mock database mode requires ENABLE_MOCK_DB=true."");"
simulation-generator,P0,apps/api/src/index.ts,49,"mockSemanticSearchFallback,"
permissive-fallback,P0,apps/api/src/index.ts,91,"const isMockDbEnabled = process.env.ENABLE_MOCK_DB === ""true"" &&"
literal-run-count,P0,apps/api/src/index.ts,339,"payload_json: { runId, selectedItemsCount: 3, tokenBudget: 50000, usableInput: 30000 },"
skip-then-pass,P0,apps/api/src/index.ts,615,"sysLogger.info(""Skipping mock data pre-seeding as mock database mode is inactive."");"
permissive-fallback,P0,apps/api/src/startup-policy.ts,7,"env.ALLOW_OFFLINE_API_BOOT === ""true"""
fabricated-hash,P0,apps/web/src/App.tsx,373,"const hash = ""sha256-"" + Math.random().toString(16).substring(2, 10) + Math.random().toString(16).substring(2, 10);"
simulation-generator,P0,apps/web/src/lib/api/ai.ts,125,export function createLocalAiSimulation(
hardcoded-metric,P1,apps/web/src/lib/api/ai.ts,204,"totalScannedDocs: 23,"
hardcoded-metric,P1,apps/web/src/lib/api/ai.ts,205,"tokensInvolved: 12450000,"
hardcoded-metric,P1,apps/web/src/lib/api/ai.ts,206,"compressedPackTokens: 48200,"
simulation-generator,P0,packages/context/src/index.ts,634,export function mockSemanticSearchFallback(
stub-dependency,P1,packages/context/src/index.ts,1108,"{ dependency: ""shared-types"", detail: ""Metadata-based direct import stub. Full graph traversal reserved for GRAPH phase."", status: ""stubbed"" }"
stub-dependency,P1,packages/context/src/index.ts,1111,"{ dependency: ""apps/api/src/index.ts"", detail: ""Reverse reference stub. Full ast discovery belongs to GRAPH phase."", status: ""stubbed"" }"
stub-dependency,P1,packages/context/src/index.ts,1123,"{ dependency: ""shared-types"", detail: ""Metadata-based direct import stub. Full graph traversal reserved for GRAPH phase."", status: ""stubbed"" }"
stub-dependency,P1,packages/context/src/index.ts,1126,"{ dependency: ""apps/api/src/index.ts"", detail: ""Reverse reference stub. Full ast discovery belongs to GRAPH phase."", status: ""stubbed"" }"
fabricated-diff,P1,packages/context/src/index.ts,1185,"author: ""User-Aydinoglu"","
fabricated-diff,P1,packages/context/src/index.ts,1187,"line_changes: ""+45 -12"","
unconditional-flag,P1,packages/context/src/index.ts,1379,secret_scanned: true
stub-dependency,P1,packages/context/src/index.ts,1440,"direct_dependencies: [{ dependency: ""shared-types"", detail: ""stubbed"", status: ""stubbed"" }],"
stub-dependency,P1,packages/context/src/index.ts,1441,"reverse_dependencies: [{ dependency: ""apps/api/src/index.ts"", detail: ""stubbed"", status: ""stubbed"" }]"
fabricated-diff,P1,packages/context/src/index.ts,1550,"author: ""User-Aydinoglu"","
fabricated-diff,P1,packages/context/src/index.ts,1552,"line_changes: ""+45 -12"","
simulation-generator,P0,packages/context/src/search-server.ts,16,mockSemanticSearchFallback
simulation-generator,P0,packages/context/src/search-server.ts,98,"const semanticResult = mockSemanticSearchFallback(query, ["
simulation-generator,P0,packages/context/src/search-server.ts,290,"const semResult = mockSemanticSearchFallback(query, [item]);"
embedded-secret,P0,packages/security/src/secret-scanner/secret-scanner.test.ts,44,"expect(source).not.toContain(""obfuscatedSecretParts"");"
permissive-fallback,P0,scripts/run-validation-suite.ts,8,"process.env.DETERMINISTIC_TEST_MODE = ""true"";"
skip-then-pass,P0,scripts/validate-phase-2-runner.ts,9,"detectSkipMarkers(""Skipping Part C Live DB checks because connection failed."")"
skip-then-pass,P0,scripts/validate-phase-2-runner.ts,14,"detectSkipMarkers(""Sandbox fallbacks activated for Database schema model checks."")"
skip-then-pass,P0,scripts/validate-phase-2-runner.ts,27,"""Stage result: PASS\nSkipping live database trigger assertions."""
permissive-fallback,P0,scripts/validate-phase-3-startup.ts,21,"ALLOW_OFFLINE_API_BOOT: ""true"","
permissive-fallback,P0,scripts/validate-phase-3-startup.ts,28,"ALLOW_OFFLINE_API_BOOT: ""true"","
permissive-fallback,P0,scripts/validate-phase-5-evidence-integrity.ts,6,"process.env.ENABLE_MOCK_DB = ""true"";"
simulation-generator,P0,scripts/validate-segment-1-10.ts,20,"mockSemanticSearchFallback,"
skip-then-pass,P0,scripts/validate-segment-1-10.ts,238,"console.warn(""  Skipping integration tests: DATABASE_URL is unavailable or offline."");"
assert-true,P0,scripts/validate-segment-1-10.ts,256,"assert(""Scope project verified and persisted inside standard table rows"", true);"
random-primary-key,P1,scripts/validate-segment-1-10.ts,268,"const mockItemId = `ctx_test_item_${Math.random().toString(36).substring(2, 11)}`;"
random-primary-key,P1,scripts/validate-segment-1-10.ts,295,"const chunkId = `ctx_chunk_${Math.random().toString(36).substring(2, 11)}`;"
simulation-generator,P0,scripts/validate-segment-1-10.ts,406,const mockSemantic = mockSemanticSearchFallback(
assert-true,P0,scripts/validate-segment-1-10.ts,723,"assert(""GRAPH-011: Project scope validation passes for active verified projects"", true);"
skip-then-pass,P0,scripts/validate-segment-1-10.ts,1154,"console.log(""  Stage 27 live database reference bypass; skipping SQL connection checks."");"
simulation-generator,P0,scripts/validate-segment-11-14.ts,20,"mockSemanticSearchFallback,"
skip-then-pass,P0,scripts/validate-segment-11-14.ts,238,"console.warn(""  Skipping integration tests: DATABASE_URL is unavailable or offline."");"
skip-then-pass,P0,scripts/validate-segment-11-14.ts,876,"console.log(""  Stage 27 live database reference bypass; skipping SQL connection checks."");"
